thumbnail,thumbnail_url,thumbnail_alt_tag
"27e26dd8-d841-487f-b332-2d5cdd6e49b7.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=27e26dd8-d841-487f-b332-2d5cdd6e49b7.jpg","hybrid work "
"27e6cebf-07e3-4996-ae28-7b76acd00a6d.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=27e6cebf-07e3-4996-ae28-7b76acd00a6d.jpg","paperclip above a ruler representing metrics"
"282fe7c0-3da1-44da-bce3-2fdabdccd288.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=282fe7c0-3da1-44da-bce3-2fdabdccd288.jpg","HR Transformation's Impact on HR for HR"
"28897e0b-5717-44b4-bad2-69db379bb306.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=28897e0b-5717-44b4-bad2-69db379bb306.jpg","diversity "
"2932f8c9-1909-46c5-844e-b3e590389461.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2932f8c9-1909-46c5-844e-b3e590389461.jpg","Developing Core HR Skills in Early Careerr"
"2c34193e-cc3e-45f3-a1ce-a5779b8d5455.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2c34193e-cc3e-45f3-a1ce-a5779b8d5455.jpg","employee engagement quarterly"
"2c6ea5ab-053c-4386-9f4c-aee5510c8014.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2c6ea5ab-053c-4386-9f4c-aee5510c8014.jpg","future of work "
"2c9062ed-2156-436a-858b-00bbfe14d2b3.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2c9062ed-2156-436a-858b-00bbfe14d2b3.jpg","talent management"
"2d4be5a2-8cf1-43e8-9ec4-d42ad2094cd8.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2d4be5a2-8cf1-43e8-9ec4-d42ad2094cd8.jpg","trends"
"2dc2cfb4-e26b-4c39-9274-d555cd118129.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2dc2cfb4-e26b-4c39-9274-d555cd118129.jpg","keys to transforming your HR model"
"2e850b74-e6a1-4304-bd1f-26275c283cbd.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2e850b74-e6a1-4304-bd1f-26275c283cbd.jpg","what level of data and analytics expertise is neede for the HR for HR leader"
"2ed88ab3-16b0-4614-aacb-2523e140d020.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=2ed88ab3-16b0-4614-aacb-2523e140d020.jpg","Developing HR Capabilities "
"3023d3ea-3572-4736-8587-e1155061169f.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3023d3ea-3572-4736-8587-e1155061169f.jpg","hybrid work "
"303d1f5a-97f2-4e1d-99cc-9651d8ec0fe9.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=303d1f5a-97f2-4e1d-99cc-9651d8ec0fe9.jpg","Future of work "
"303fe1ee-524d-4168-b504-d5288232166b.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=303fe1ee-524d-4168-b504-d5288232166b.jpg","learning"
"3115730b-6b82-4127-ac53-a77ec8656f06.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3115730b-6b82-4127-ac53-a77ec8656f06.jpg","Virtual Learning webcast"
"32312cd7-ac69-4e49-a085-35aa4206db1e.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=32312cd7-ac69-4e49-a085-35aa4206db1e.jpg","puzzle pieces representing the challenge of identifying talent"
"33df4fea-6030-433d-8fbb-1fd2572f5f82.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=33df4fea-6030-433d-8fbb-1fd2572f5f82.jpg","New Competencies and the Future of Work video clip"
"343b6a07-7116-4f82-9619-fca79a58c48b.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=343b6a07-7116-4f82-9619-fca79a58c48b.jpg","word cloud with leadership highlighted"
"34519da2-f3de-4615-936f-608edadf2c02.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=34519da2-f3de-4615-936f-608edadf2c02.jpg","Mobile Learning Working Group Recap video clip"
"34bec734-c2c8-42e0-8663-a234ef1562f3.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=34bec734-c2c8-42e0-8663-a234ef1562f3.jpg","Cornell logo"
"3600f4a5-a441-4087-9079-0cfa098a5335.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3600f4a5-a441-4087-9079-0cfa098a5335.jpg","people around a table with laptops representing a meeting"
"37aa6e45-1d9c-4a5b-b2cc-6e17a0075d47.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=37aa6e45-1d9c-4a5b-b2cc-6e17a0075d47.jpg","Artificial Intelligence Explorers  video clip"
"37e09ff5-aa65-4eed-bebc-e8cfb4a9e6ee.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=37e09ff5-aa65-4eed-bebc-e8cfb4a9e6ee.jpg","chrysalis next to a butterfly showing transformation"
"3802d6d1-f690-45ac-ae3e-62178f1644b8.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3802d6d1-f690-45ac-ae3e-62178f1644b8.jpg","Onboarding and Training HR Talent"
"380816f4-b3c1-44bf-af87-adece103c6da.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=380816f4-b3c1-44bf-af87-adece103c6da.jpg","How are Companies Encouraging Employees to Self-Identify?"
"385f5907-e6a3-4393-ae4b-dc177fcbdc78.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=385f5907-e6a3-4393-ae4b-dc177fcbdc78.jpg",""
"3ad8f004-f7bf-46eb-980e-74086719be63.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3ad8f004-f7bf-46eb-980e-74086719be63.jpg","analytics quarterly"
"3ba71b14-6b92-4b51-98d8-75f9a25ba380.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3ba71b14-6b92-4b51-98d8-75f9a25ba380.jpg","employee engagement quarterly"
"3dc64ef3-947b-42da-82f7-b833e4dd6cfa.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3dc64ef3-947b-42da-82f7-b833e4dd6cfa.jpg","hands in a circle coming together"
"3fb477e7-8708-4aeb-b229-d6400771bba6.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3fb477e7-8708-4aeb-b229-d6400771bba6.jpg","What Cultures are Best Suited to Adopting Analytics?"
"401850db-25ba-4fd9-a890-9cf093eafe65.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=401850db-25ba-4fd9-a890-9cf093eafe65.jpg","diversity"
"4068ac1e-c38d-4b6a-a724-c1e8308225eb.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=4068ac1e-c38d-4b6a-a724-c1e8308225eb.jpg","Talent Management Winter 2021 Quarterly "
"41f078a9-c358-435e-a0e0-ae1a5ea5936e.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=41f078a9-c358-435e-a0e0-ae1a5ea5936e.jpg","health and wellness"
"42555008-55eb-48db-964d-cc82a313e5fa.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=42555008-55eb-48db-964d-cc82a313e5fa.jpg","employees in a meeting "
"43280f79-3415-40b7-8353-3d5e00c00d99.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=43280f79-3415-40b7-8353-3d5e00c00d99.jpg","analytics screen on a phone "
"450538a3-770f-47eb-b140-47509f8741e1.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=450538a3-770f-47eb-b140-47509f8741e1.jpg","Devon Proudfoot "
"453ff2aa-bd53-4cb2-9393-25a46d0e5c28.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=453ff2aa-bd53-4cb2-9393-25a46d0e5c28.jpg","open office plan with various types of chairs and desk space"
"45bbee17-7d8d-4d2e-8c11-b446a4b3ee5c.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=45bbee17-7d8d-4d2e-8c11-b446a4b3ee5c.jpg","Privacy in the Realm of HR"
"45eee398-9ae4-453a-875f-1af89335ff7d.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=45eee398-9ae4-453a-875f-1af89335ff7d.jpg","the number five "
"471ee3c9-36a8-4e48-92de-0149a97ad879.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=471ee3c9-36a8-4e48-92de-0149a97ad879.jpg","HR Analytics "
"472e4bdf-07e0-4b1a-b075-f13e3a8a9541.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=472e4bdf-07e0-4b1a-b075-f13e3a8a9541.jpg","strategy in the office "
"476238c1-5d74-4ea2-b0ab-591a26f8d80e.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=476238c1-5d74-4ea2-b0ab-591a26f8d80e.jpg","hybrid work "
"47b50313-0ebf-4d4a-b116-abcb74e9879a.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=47b50313-0ebf-4d4a-b116-abcb74e9879a.jpg","money"
"4874fecf-e45f-493e-ae31-205c26a503b4.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=4874fecf-e45f-493e-ae31-205c26a503b4.jpg","HR's Role in Strategy"
"48b67332-38c7-4d3e-8437-6ff77d31cf34.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=48b67332-38c7-4d3e-8437-6ff77d31cf34.jpg","Concerns Related to the Idea of Employees Choosing not to Return to the Office "
"49083010-180d-49fb-bbd7-7c1ee76a8b05.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=49083010-180d-49fb-bbd7-7c1ee76a8b05.jpg","money"
"49a7a6a5-a6b0-4b1c-8db6-f90b47703c6e.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=49a7a6a5-a6b0-4b1c-8db6-f90b47703c6e.jpg","Where is Analytics Headed"
"49e1e609-38f1-4da2-bfa2-487114938d7e.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=49e1e609-38f1-4da2-bfa2-487114938d7e.jpg","group of team's hands shaking"
"4a0bdf79-fd74-466f-b9f1-a831d28c8291.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=4a0bdf79-fd74-466f-b9f1-a831d28c8291.jpg","bringing employees back to the office"
"4b31ee89-277d-43fc-b984-a95aed7979cd.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=4b31ee89-277d-43fc-b984-a95aed7979cd.jpg","Preparing for Post Pandemic Work and Workplace "
"4cdc72ef-6564-4109-91d4-3b70f3070c1d.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=4cdc72ef-6564-4109-91d4-3b70f3070c1d.jpg","Challenges of Mobile Learning video clip"
"4d85c487-99d2-4652-a3b9-67a7bda40ff3.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=4d85c487-99d2-4652-a3b9-67a7bda40ff3.jpg","employee engagement quarterly"
"4f569135-0672-4c93-b1bc-4629df8033f4.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=4f569135-0672-4c93-b1bc-4629df8033f4.jpg","productivity during remote work "
"4f6ede5e-ce12-488b-87cc-eba435d65027.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=4f6ede5e-ce12-488b-87cc-eba435d65027.jpg","hybrid work "
"501d7cce-794d-428c-8581-c18e36c968d7.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=501d7cce-794d-428c-8581-c18e36c968d7.jpg","HR's Role as Trusted Advisor"
"506178e6-81b0-44e3-8638-ac4e709cac1d.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=506178e6-81b0-44e3-8638-ac4e709cac1d.jpg","employee engagement quarterly"
"50f971c0-2d91-416b-bda2-a771cb8fddcf.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=50f971c0-2d91-416b-bda2-a771cb8fddcf.jpg","chess board"
"51955bb0-fa78-4370-8ea0-927816a6e5d1.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=51955bb0-fa78-4370-8ea0-927816a6e5d1.jpg","diversity"
"52c1e666-15f2-4a2f-bf07-301f55adb337.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=52c1e666-15f2-4a2f-bf07-301f55adb337.jpg","HR for HR and data and analytics "
